name,description,possible_values
ID,Record ID,Continuous
AGE,Age,Continuous
SEX,Gender,"{0: 'female', 1: 'male'}"
INF_ANAM,Quantity of myocardial infarctions in the anamnesis,"{0: 'zero', 1: 'one', 2: 'two', 3: 'three and more'}"
STENOK_AN,Exertional angina pectoris in the anamnesis,"{0: 'never', 1: 'during the last year', 2: 'one year ago', 3: 'two years ago', 4: 'three years ago', 5: '4-5 years ago', 6: 'more than 5 years ago'}"
FK_STENOK,Functional class of angina pectoris in the last year,"{0: 'there is no angina pectoris', 1: 'I FC', 2: 'II FC', 3: 'III FC.', 4: 'IV FC'}"
IBS_POST,"Coronary heart disease in recent weeks, days before admission to hospital","{0: 'there was no СHD', 1: 'exertional angina pectoris', 2: 'unstable angina pectoris'}"
IBS_NASL,Heredity on CHD,"{0: 'isn’t burdened', 1: 'burdened'}"
GB,Presence of an essential hypertension,"{0: 'there is no essential hypertension', 1: 'Stage 1', 2: 'Stage 2', 3: 'Stage 3'}"
SIM_GIPERT,Symptomatic hypertension,"{0: 'no', 1: 'yes'}"
DLIT_AG,Duration of arterial hypertension,"{0: 'there was no arterial hypertension', 1: 'one year', 2: 'two years', 3: 'three years', 4: 'four years', 5: 'five years', 6: '6-10 years', 7: 'more than 10 years'}"
ZSN_A,Presence of chronic Heart failure in the anamnesis,"{0: 'there is no chronic heart failure', 1: 'I stage', 2: 'IIА stage (heart failure due to right ventricular systolic dysfunction)', 3: 'IIА stage (heart failure due to left ventricular systolic dysfunction)', 4: 'IIB stage (heart failure due to left and right ventricular systolic dysfunction)'}"
nr11,Observing of arrhythmia in the anamnesis,"{0: 'no', 1: 'yes'}"
nr01,Premature atrial contractions in the anamnesis,"{0: 'no', 1: 'yes'}"
nr02,Premature ventricular contractions in the anamnesis,"{0: 'no', 1: 'yes'}"
nr03,Paroxysms of atrial fibrillation in the anamnesis,"{0: 'no', 1: 'yes'}"
nr04,A persistent form of atrial fibrillation in the anamnesis,"{0: 'no', 1: 'yes'}"
nr07,Ventricular fibrillation in the anamnesis,"{0: 'no', 1: 'yes'}"
nr08,Ventricular paroxysmal tachycardia in the anamnesis,"{0: 'no', 1: 'yes'}"
np01,First-degree AV block in the anamnesis,"{0: 'no', 1: 'yes'}"
np04,Third-degree AV block in the anamnesis,"{0: 'no', 1: 'yes'}"
np05,LBBB (anterior branch) in the anamnesis,"{0: 'no', 1: 'yes'}"
np07,Incomplete LBBB in the anamnesis,"{0: 'no', 1: 'yes'}"
np08,Complete LBBB in the anamnesis,"{0: 'no', 1: 'yes'}"
np09,Incomplete RBBB in the anamnesis,"{0: 'no', 1: 'yes'}"
np10,Complete RBBB in the anamnesis,"{0: 'no', 1: 'yes'}"
endocr_01,Diabetes mellitus in the anamnesis,"{0: 'no', 1: 'yes'}"
endocr_02,Obesity in the anamnesis,"{0: 'no', 1: 'yes'}"
endocr_03,Thyrotoxicosis in the anamnesis,"{0: 'no', 1: 'yes'}"
zab_leg_01,Chronic bronchitis in the anamnesis,"{0: 'no', 1: 'yes'}"
zab_leg_02,Obstructive chronic bronchitis in the anamnesis,"{0: 'no', 1: 'yes'}"
zab_leg_03,Bronchial asthma in the anamnesis,"{0: 'no', 1: 'yes'}"
zab_leg_04,Chronic pneumonia in the anamnesis,"{0: 'no', 1: 'yes'}"
zab_leg_06,Pulmonary tuberculosis in the anamnesis,"{0: 'no', 1: 'yes'}"
S_AD_KBRIG,"Systolic blood pressure according to Emergency Cardiology Team, mmHg,",Continuous
D_AD_KBRIG,"Diastolic blood pressure according to Emergency Cardiology Team, mmHg,",Continuous
S_AD_ORIT,"Systolic blood pressure according to intensive care unit, mmHg,",Continuous
D_AD_ORIT,"Diastolic blood pressure according to intensive care unit, mmHg,",Continuous
O_L_POST,Pulmonary edema at the time of admission to intensive care unit,"{0: 'no', 1: 'yes'}"
K_SH_POST,Cardiogenic shock at the time of admission to intensive care unit,"{0: 'no', 1: 'yes'}"
MP_TP_POST,"Paroxysms of atrial fibrillation at the time of admission to intensive care unit, or at a pre- hospital stage","{0: 'no', 1: 'yes'}"
SVT_POST,"Paroxysms of supraventricular tachycardia at the time of admission to intensive care unit, or at a pre-hospital stage","{0: 'no', 1: 'yes'}"
GT_POST,"Paroxysms of ventricular tachycardia at the time of admission to intensive care unit, or at a pre-hospital stage","{0: 'no', 1: 'yes'}"
FIB_G_POST,"Ventricular fibrillation at the time of admission to intensive care unit, or at a pre-hospital stage","{0: 'no', 1: 'yes'}"
ant_im,"Presence of an anterior myocardial infarction, left ventricular, ECG changes in leads V1 – V4","{0: 'there is no infarct in this location', 1: 'QRS has no changes', 2: 'QRS is like QR-complex', 3: 'QRS is like Qr-complex', 4: 'QRS is like QS-complex'}"
lat_im,"Presence of a lateral myocardial infarction left ventricular, ECG changes in leads V5 – V6 , I, AVL","{0: 'there is no infarct in this location', 1: 'QRS has no changes', 2: 'QRS is like QR-complex', 3: 'QRS is like Qr-complex', 4: 'QRS is like QS-complex'}"
inf_im,"Presence of an inferior myocardial infarction left ventricular, ECG changes in leads III, AVF, II","{0: 'there is no infarct in this location', 1: 'QRS has no changes', 2: 'QRS is like QR-complex', 3: 'QRS is like Qr-complex', 4: 'QRS is like QS-complex'}"
post_im,"Presence of a posterior myocardial infarction left ventricular, ECG changes in V7 – V9, reciprocity changes in leads V1 – V3","{0: 'there is no infarct in this location', 1: 'QRS has no changes', 2: 'QRS is like QR-complex', 3: 'QRS is like Qr-complex', 4: 'QRS is like QS-complex'}"
IM_PG_P,Presence of a right ventricular myocardial infarction,"{0: 'no', 1: 'yes'}"
ritm_ecg_p_01,ECG rhythm at the time of admission to hospital – sinus with a heart rate 60-90,"{0: 'no', 1: 'yes'}"
ritm_ecg_p_02,ECG rhythm at the time of admission to hospital – atrial fibrillation,"{0: 'no', 1: 'yes'}"
ritm_ecg_p_04,ECG rhythm at the time of admission to hospital – atrial,"{0: 'no', 1: 'yes'}"
ritm_ecg_p_06,ECG rhythm at the time of admission to hospital – idioventricular,"{0: 'no', 1: 'yes'}"
ritm_ecg_p_07,"ECG rhythm at the time of admission to hospital – sinus with a heart rate above 90, tachycardia","{0: 'no', 1: 'yes'}"
ritm_ecg_p_08,"ECG rhythm at the time of admission to hospital – sinus with a heart rate below 60, bradycardia,","{0: 'no', 1: 'yes'}"
n_r_ecg_p_01,Premature atrial contractions on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_r_ecg_p_02,Frequent premature atrial contractions on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_r_ecg_p_03,Premature ventricular contractions on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_r_ecg_p_04,Frequent premature ventricular contractions on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_r_ecg_p_05,Paroxysms of atrial fibrillation on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_r_ecg_p_06,Persistent form of atrial fibrillation on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_r_ecg_p_08,Paroxysms of supraventricular tachycardia on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_r_ecg_p_09,Paroxysms of ventricular tachycardia on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_r_ecg_p_10,Ventricular fibrillation on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_p_ecg_p_01,Sinoatrial block on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
n_p_ecg_p_03,First-degree AV block on ECG at the time of admission to hospital,"{0: 'no', 1: 'yes'}"
